epoch,loss,val_loss,val_accuracy,val_auc,val_f1,val_sensitivity,val_specificity
1,0.3073925639192263,0.4026477728039026,0.8416666666666667,0.9073571428571429,0.7865168539325843,0.7,0.9428571428571428
2,0.15834194536631305,0.8964148052036762,0.7291666666666666,0.9437857142857142,0.5185185185185185,0.35,1.0
3,0.15740183498710394,1.3917660266160965,0.6583333333333333,0.9227857142857143,0.3050847457627119,0.18,1.0
4,0.14090757270654042,0.23260805383324623,0.9208333333333333,0.9642857142857142,0.9025641025641026,0.88,0.95
5,0.12234587253381808,0.370194504968822,0.8833333333333333,0.9576428571428571,0.8372093023255814,0.72,1.0
6,0.1141680741061767,0.9613505005836487,0.7375,0.9413571428571429,0.5401459854014599,0.37,1.0
7,0.08082086580495039,0.39108755998313427,0.8916666666666667,0.9588571428571429,0.8505747126436781,0.74,1.0
8,0.08971833034108083,1.1229829639196396,0.7416666666666667,0.962,0.5507246376811594,0.38,1.0
9,0.09614873261501392,0.22277681715786457,0.9041666666666667,0.9639285714285715,0.882051282051282,0.86,0.9357142857142857
10,0.10995280767480532,0.29969445522874594,0.8708333333333333,0.9599285714285715,0.8248587570621468,0.73,0.9714285714285714
11,0.07690726790266732,0.6322540193796158,0.8375,0.9332142857142857,0.7607361963190185,0.62,0.9928571428571429
12,0.08359523901017382,0.9305151868611574,0.8,0.9665714285714285,0.6842105263157895,0.52,1.0
13,0.06517918187504014,0.8948300182819366,0.7916666666666666,0.9567142857142857,0.6666666666666666,0.5,1.0
14,0.08043736577965319,0.6122738933190703,0.825,0.9667142857142856,0.7341772151898734,0.58,1.0
15,0.06943287246006852,0.4118807523045689,0.8916666666666667,0.9584285714285714,0.8522727272727273,0.75,0.9928571428571429
16,0.04706022292375565,0.5137217165902257,0.8666666666666667,0.9535,0.8095238095238095,0.68,1.0
17,0.07005014445943138,0.3089366676285863,0.9,0.9505714285714286,0.8666666666666667,0.78,0.9857142857142858
18,0.06836149262574812,0.2065953970886767,0.9375,0.9677857142857144,0.9230769230769231,0.9,0.9642857142857143
19,0.07757100282857815,0.31046020705252886,0.9125,0.9590714285714286,0.8852459016393442,0.81,0.9857142857142858
20,0.07252234044329574,0.7611651197075844,0.8083333333333333,0.9579285714285715,0.7012987012987013,0.54,1.0
21,0.08186587039381266,0.4288741850759834,0.8833333333333333,0.9569285714285715,0.8390804597701149,0.73,0.9928571428571429
22,0.08538562712880472,0.6496704425662756,0.8333333333333334,0.9487857142857142,0.75,0.6,1.0
23,0.1003771004267037,0.4626093087717891,0.8791666666666667,0.9567857142857142,0.8342857142857143,0.73,0.9857142857142858
24,0.08279057829640805,0.7778560072183609,0.8083333333333333,0.9521428571428572,0.7012987012987013,0.54,1.0
25,0.07711949944496155,0.3232232518494129,0.9,0.9559285714285715,0.8651685393258427,0.77,0.9928571428571429
