epoch,loss,val_loss,val_accuracy,val_auc,val_f1,val_sensitivity,val_specificity
1,0.21910699314127366,0.4133182503283024,0.7791666666666667,0.9404285714285714,0.7836734693877551,0.96,0.65
2,0.12853404295941193,0.6030094474554062,0.8041666666666667,0.9295714285714285,0.6928104575163399,0.53,1.0
3,0.09826773974734047,0.5206691399216652,0.85,0.9616428571428571,0.7831325301204819,0.65,0.9928571428571429
4,0.14086151445905368,0.4059178065508604,0.875,0.9597857142857144,0.8275862068965517,0.72,0.9857142857142858
5,0.13050661062200863,0.2568035889416933,0.8666666666666667,0.9561428571428572,0.8476190476190476,0.89,0.85
6,0.09469931504378716,0.21121556777507067,0.925,0.9659285714285715,0.9052631578947369,0.86,0.9714285714285714
7,0.08461042226602634,0.4545711427927017,0.85,0.9625,0.7804878048780488,0.64,1.0
8,0.09184746442673107,0.2820904180407524,0.8833333333333333,0.9559285714285713,0.8691588785046729,0.93,0.85
9,0.09982541616385182,0.5255796080455184,0.8875,0.9661428571428571,0.8457142857142858,0.74,0.9928571428571429
10,0.07603379582675794,0.5998234339058399,0.8583333333333333,0.9719285714285715,0.7976190476190477,0.67,0.9928571428571429
11,0.08743660900120934,0.5468261204659939,0.8458333333333333,0.9712142857142858,0.7730061349693251,0.63,1.0
12,0.08845191731428106,0.4150970187038183,0.8958333333333334,0.9568571428571429,0.8603351955307262,0.77,0.9857142857142858
13,0.10129106654785573,0.5795384235680103,0.85,0.9453571428571429,0.7831325301204819,0.65,0.9928571428571429
14,0.08541737763832012,0.2617294769734144,0.9,0.9661428571428571,0.8681318681318682,0.79,0.9785714285714285
15,0.07132420458365232,0.2856327071785927,0.9,0.971,0.8651685393258427,0.77,0.9928571428571429
