epoch,loss,val_loss,val_accuracy,val_auc,val_f1,val_sensitivity,val_specificity
1,0.2756170070419709,0.41688088327646255,0.7791666666666667,0.9258571428571428,0.7782426778242678,0.93,0.6714285714285714
2,0.15483914588888487,0.43992424570024014,0.8291666666666667,0.9628571428571429,0.7421383647798742,0.59,1.0
3,0.14553847033530473,0.3258414650335908,0.8833333333333333,0.9280714285714285,0.851063829787234,0.8,0.9428571428571428
4,0.11987887558837731,1.1081489324569702,0.7458333333333333,0.9365714285714286,0.5611510791366906,0.39,1.0
5,0.10476246606558562,1.1372114717960358,0.7208333333333333,0.9425714285714285,0.49624060150375937,0.33,1.0
6,0.11231663767248393,0.4663879447616637,0.8625,0.9627857142857142,0.8023952095808383,0.67,1.0
7,0.08736796344940861,0.40807954501360655,0.85,0.9007857142857143,0.8085106382978723,0.76,0.9142857142857143
8,0.10734819419061144,0.44368845224380493,0.8416666666666667,0.9472857142857143,0.7682926829268293,0.63,0.9928571428571429
9,0.09827697152892749,0.6225829385221004,0.8291666666666667,0.9660714285714286,0.7421383647798742,0.59,1.0
10,0.07169011709435533,0.24088573176413774,0.9,0.9572857142857143,0.8775510204081632,0.86,0.9285714285714286
11,0.09574873526580632,1.4407335221767426,0.7208333333333333,0.9460000000000001,0.49624060150375937,0.33,1.0
12,0.052110516279935834,0.2870501179713756,0.9083333333333333,0.9590714285714286,0.8817204301075269,0.82,0.9714285714285714
13,0.06566661236574874,0.35722260689362884,0.9041666666666667,0.957,0.8700564971751412,0.77,1.0
14,0.09948634491302073,0.459498668089509,0.8541666666666666,0.9567857142857144,0.7904191616766467,0.66,0.9928571428571429
15,0.10293139511098465,0.35578888608142734,0.8875,0.9604285714285714,0.8457142857142858,0.74,0.9928571428571429
