epoch,loss,val_loss,val_accuracy,val_auc,val_f1,val_sensitivity,val_specificity
1,0.2426553575322032,0.42444428242743015,0.8291666666666667,0.9226428571428572,0.8127853881278538,0.89,0.7857142857142857
2,0.11251624558741848,0.7728606183081865,0.7875,0.9287142857142857,0.6622516556291391,0.5,0.9928571428571429
3,0.17166526637350518,0.849794402718544,0.6458333333333334,0.9347857142857142,0.6953405017921147,0.97,0.4142857142857143
4,0.15275062946602702,0.45406443625688553,0.8625,0.9544285714285714,0.8047337278106509,0.68,0.9928571428571429
5,0.10225263045479854,0.30082137137651443,0.8916666666666667,0.9477142857142858,0.8617021276595744,0.81,0.95
6,0.13685345333069562,0.40802720934152603,0.8833333333333333,0.954,0.8426966292134831,0.75,0.9785714285714285
7,0.10196484417344133,0.8624985497444868,0.8,0.9529285714285715,0.6842105263157895,0.52,1.0
8,0.09267010261925558,0.8230086304247379,0.8208333333333333,0.9667857142857142,0.7261146496815286,0.57,1.0
9,0.1048039535836627,0.300605132477358,0.8916666666666667,0.9654285714285714,0.8539325842696629,0.76,0.9857142857142858
10,0.07645004047080875,0.7909615412354469,0.8083333333333333,0.9671428571428572,0.7012987012987013,0.54,1.0
